ID,Name,Subtitle (Specs),Category,Current Price (SEK),Regular Price (SEK),Discount (SEK),Rating,Review Count,Web Stock,Supplier Stock,Store Stock,Total Stock,Is Available,Date Scraped,VRAM (GB),Manufacturer,PCI Gen,Clock Speed (MHz),AIB,GPU Model,AIB Tier
383858,ASUS GeForce RTX 5060TI Dual 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2572 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7990.0,7990.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2572.0,ASUS,RTX 5060 Ti 16GB,Value
383859,ASUS GeForce RTX 5060TI Prime OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7999.0,7999.0,0.0,4.0,1.0,5,0,3,8,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Value
382269,ASUS PRIME GeForce RTX 5070 12GB OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8490.0,8490.0,0.0,4.9,11.0,11,0,1,12,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
387371,Asus Dual GeForce RTX 5070 OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8490.0,8490.0,0.0,,,51,0,7,58,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
382149,MSI GeForce RTX 5070 12G GAMING TRIO OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8490.0,8490.0,0.0,,,6,0,17,23,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,MSI,RTX 5070 12GB,Performance
381500,ASRock Radeon RX 9070 Challenger 16GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2070 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8490.0,8490.0,0.0,4.0,1.0,5,0,22,27,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2070.0,ASRock,RX 9070 16GB,Value
377915,Gigabyte Radeon RX 9070 XT GAMING OC 16GB,AMD Radeon / PCI Express 5.0 / 16 GB / 2520 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8499.0,8499.0,0.0,4.0,2.0,28,0,7,35,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2520.0,Gigabyte,RX 9070 XT 16GB,Performance
378391,Sapphire NITRO+ RX 9070 GAMING 16 GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2210 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8499.0,8499.0,0.0,5.0,1.0,2,0,2,4,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2210.0,Sapphire,RX 9070 16GB,Halo
383857,ASUS GeForce RTX 5060TI TUF Gaming 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8669.0,8669.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Performance
381503,ASRock Radeon RX 9070 XT Steel Legend 16GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2400 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8899.0,8899.0,0.0,4.8,5.0,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2400.0,ASRock,RX 9070 XT 16GB,Performance
382267,ASUS TUF Gaming GeForce RTX 5070 12GB OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8990.0,8990.0,0.0,5.0,2.0,30,0,15,45,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Performance
381502,ASRock Radeon RX 9070 16GB Steel Legend OC,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2210 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8999.0,8999.0,0.0,,,15,0,13,28,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2210.0,ASRock,RX 9070 16GB,Performance
387900,Gigabyte Radeon RX 9070 XT GAMING 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,8999.0,8999.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,Gigabyte,RX 9070 XT 16GB,Performance
389059,ASUS PRIME Radeon RX 9070 EVO 16GB OC Edition,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,9099.0,9099.0,0.0,,,20,0,0,20,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9070 16GB,Value
377597,ASUS TUF Gaming Radeon RX 9070 16GB OC,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,9490.0,9490.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9070 16GB,Performance
